#!SbcSavedTrendFile;Version_4;Html5Runtime_V3.0;
#!SBC trends log file generated on: 19.02.2025 15:27:25;
7;
TA_SP15P2_ET1	0	5000	255,0,0;
CO_SP15P2_ET1	0	5000	0,64,0;
DBS_SP15P2_ET1	0	5000	0,0,128;
DBE_SP15P2_ET1	0	5000	128,0,128;
TA_SP15P3_ET1	0	5000	255,255,0;
CO_SP15P3_ET1	0	5000	255,128,128;
DBS_SP15P3_ET1	0	5000	0,255,0;

#!(s);Date;Time;TA_SP15P2_ET1;CO_SP15P2_ET1;DBS_SP15P2_ET1;DBE_SP15P2_ET1;TA_SP15P3_ET1;CO_SP15P3_ET1;DBS_SP15P3_ET1;
1730493255;01.11.2024;20:34:15;19.3;0;346;346;0;0;346;
1730494159;01.11.2024;20:49:19;19.1;0;331;353;0;0;338;
1730495062;01.11.2024;21:04:22;19.1;0;371;360;0;0;346;
1730495965;01.11.2024;21:19:25;19.1;0;346;346;0;0;346;
1730496868;01.11.2024;21:34:28;18.8;0;353;353;0;0;360;
1730497771;01.11.2024;21:49:31;19;0;338;338;0;0;353;
1730498674;01.11.2024;22:04:34;18.9;0;353;338;0;0;353;
1730499578;01.11.2024;22:19:38;19.1;0;338;346;0;0;360;
1730500481;01.11.2024;22:34:41;19;0;346;331;0;0;346;
1730501384;01.11.2024;22:49:44;19.1;0;338;353;0;0;346;
1730502287;01.11.2024;23:04:47;18.9;0;338;338;0;0;346;
1730503190;01.11.2024;23:19:50;19.2;0;360;346;0;0;360;
1730504093;01.11.2024;23:34:53;19.2;0;353;338;0;0;360;
1730504997;01.11.2024;23:49:57;19.3;0;353;353;0;0;346;
1730505900;02.11.2024;00:05:00;19.2;0;360;360;0;0;353;
1730506803;02.11.2024;00:20:03;19.2;0;346;353;0;0;353;
1730507706;02.11.2024;00:35:06;19;0;331;346;0;0;346;
1730508609;02.11.2024;00:50:09;19.1;0;353;338;0;0;353;
1730509512;02.11.2024;01:05:12;18.8;0;360;338;0;0;346;
1730510415;02.11.2024;01:20:15;18.9;0;346;346;0;0;346;
1730511318;02.11.2024;01:35:18;19.2;0;353;360;0;0;353;
1730512222;02.11.2024;01:50:22;19.3;0;353;353;0;0;353;
1730513125;02.11.2024;02:05:25;19.2;0;346;353;0;0;346;
1730514028;02.11.2024;02:20:28;19;0;360;353;0;0;353;
1730514931;02.11.2024;02:35:31;19;0;338;346;0;0;346;
1730515834;02.11.2024;02:50:34;18.9;0;346;371;0;0;346;
1730516737;02.11.2024;03:05:37;19.1;0;360;360;0;0;360;
1730517641;02.11.2024;03:20:41;19.3;0;353;346;0;0;360;
1730518544;02.11.2024;03:35:44;19.1;0;346;367;0;0;360;
1730519447;02.11.2024;03:50:47;19.1;0;346;360;0;0;353;
1730520350;02.11.2024;04:05:50;19.2;0;353;360;0;0;360;
1730521253;02.11.2024;04:20:53;19.3;0;346;346;0;0;360;
1730522156;02.11.2024;04:35:56;19.2;0;360;360;0;0;346;
1730523060;02.11.2024;04:51:00;19;0;353;331;0;0;346;
1730523963;02.11.2024;05:06:03;19;0;338;346;0;0;353;
1730524866;02.11.2024;05:21:06;19.2;0;353;346;0;0;353;
1730525769;02.11.2024;05:36:09;19.2;0;346;346;0;0;353;
1730526672;02.11.2024;05:51:12;19.1;0;328;353;0;0;353;
1730527575;02.11.2024;06:06:15;19;0;367;346;0;0;346;
1730528478;02.11.2024;06:21:18;19.1;0;346;353;0;0;353;
1730529381;02.11.2024;06:36:21;19.2;0;338;353;0;0;360;
1730530285;02.11.2024;06:51:25;19.1;0;346;353;0;0;353;
1730531188;02.11.2024;07:06:28;19.1;0;338;331;0;0;353;
1730532091;02.11.2024;07:21:31;19.1;0;353;353;0;0;360;
1730532994;02.11.2024;07:36:34;19.4;0;338;346;0;0;360;
1730533897;02.11.2024;07:51:37;19.1;0;367;353;0;0;346;
1730534800;02.11.2024;08:06:40;19;0;338;346;0;0;338;
1730535704;02.11.2024;08:21:44;19.1;0;346;346;0;0;353;
1730536607;02.11.2024;08:36:47;18.9;0;346;353;0;0;338;
1730537510;02.11.2024;08:51:50;19.1;0;353;331;0;0;346;
1730538413;02.11.2024;09:06:53;19.3;0;338;360;0;0;346;
1730539316;02.11.2024;09:21:56;19.1;0;346;346;0;0;338;
1730540219;02.11.2024;09:36:59;18.7;0;346;346;0;0;338;
1730541122;02.11.2024;09:52:02;19;0;353;338;0;0;346;
1730542025;02.11.2024;10:07:05;19.2;0;353;360;0;0;346;
1730542929;02.11.2024;10:22:09;19;0;346;353;0;0;346;
1730543832;02.11.2024;10:37:12;18.8;0;353;338;0;0;346;
1730544735;02.11.2024;10:52:15;18.8;0;360;346;0;0;353;
1730545638;02.11.2024;11:07:18;18.8;0;353;338;0;0;353;
1730546541;02.11.2024;11:22:21;19.2;0;331;346;0;0;353;
1730547444;02.11.2024;11:37:24;19.2;0;360;346;0;0;346;
1730548348;02.11.2024;11:52:28;19;0;353;338;0;0;346;
1730549251;02.11.2024;12:07:31;19.1;0;346;346;0;0;338;
1730550154;02.11.2024;12:22:34;18.6;0;338;338;0;0;338;
1730551057;02.11.2024;12:37:37;18.9;0;338;353;0;0;346;
1730551960;02.11.2024;12:52:40;18.9;0;353;346;0;0;353;
1730552863;02.11.2024;13:07:43;19.1;0;346;346;0;0;346;
1730553766;02.11.2024;13:22:46;19;0;338;353;0;0;353;
1730554670;02.11.2024;13:37:50;19;0;346;331;0;0;346;
1730555573;02.11.2024;13:52:53;18.8;0;353;371;0;0;360;
1730556476;02.11.2024;14:07:56;19.1;0;353;338;0;0;353;
1730557379;02.11.2024;14:22:59;18.9;0;353;331;0;0;353;
1730558282;02.11.2024;14:38:02;18.9;0;338;353;0;0;353;
1730559185;02.11.2024;14:53:05;19;0;346;346;0;0;353;
1730560089;02.11.2024;15:08:09;19.1;0;338;328;0;0;353;
1730560992;02.11.2024;15:23:12;19;0;353;353;0;0;346;
1730561895;02.11.2024;15:38:15;19;0;331;338;0;0;346;
1730562798;02.11.2024;15:53:18;19;0;338;360;0;0;346;
1730563701;02.11.2024;16:08:21;19.1;0;338;346;0;0;353;
1730564604;02.11.2024;16:23:24;19.2;0;346;346;0;0;360;
1730565507;02.11.2024;16:38:27;19.1;0;353;346;0;0;353;
1730566410;02.11.2024;16:53:30;19.4;0;331;328;0;0;338;
1730567314;02.11.2024;17:08:34;18.9;0;353;346;0;0;338;
1730568217;02.11.2024;17:23:37;19.2;0;353;338;0;0;353;
1730569120;02.11.2024;17:38:40;19.2;0;346;353;0;0;346;
1730570023;02.11.2024;17:53:43;19.1;0;360;346;0;0;353;
1730570926;02.11.2024;18:08:46;19.1;0;367;353;0;0;346;
1730571829;02.11.2024;18:23:49;18.9;0;338;353;0;0;346;
1730572733;02.11.2024;18:38:53;19.1;0;360;331;0;0;346;
1730573636;02.11.2024;18:53:56;19;0;360;338;0;0;346;
1730574539;02.11.2024;19:08:59;19.1;0;353;367;0;0;353;
1730575442;02.11.2024;19:24:02;18.9;0;346;353;0;0;346;
1730576345;02.11.2024;19:39:05;19;0;346;331;0;0;346;
1730577248;02.11.2024;19:54:08;18.9;0;353;353;0;0;353;
1730578151;02.11.2024;20:09:11;18.9;0;353;338;0;0;338;
1730579055;02.11.2024;20:24:15;18.9;0;331;338;0;0;353;
1730579958;02.11.2024;20:39:18;18.8;0;346;338;0;0;346;
1730580861;02.11.2024;20:54:21;18.9;0;360;338;0;0;346;
1730581764;02.11.2024;21:09:24;19.1;0;338;353;0;0;346;
1730582667;02.11.2024;21:24:27;18.9;0;346;346;0;0;346;
1730583570;02.11.2024;21:39:30;19;0;346;353;0;0;353;
1730584474;02.11.2024;21:54:34;18.7;0;353;0;0;0;378;
1730585377;02.11.2024;22:09:37;18.9;0;353;360;0;0;346;
1730586280;02.11.2024;22:24:40;18.6;0;360;346;0;0;353;
1730587183;02.11.2024;22:39:43;18.7;0;346;346;0;0;360;
1730588086;02.11.2024;22:54:46;18.7;0;346;346;0;0;346;
1730588989;02.11.2024;23:09:49;18.9;0;338;346;0;0;353;
