#!SbcSavedTrendFile;Version_4;Html5Runtime_V3.0;
#!SBC trends log file generated on: 19.02.2025 15:26:42;
8;
TA_SC3_ET1	0	5000	255,0,0;
CO_SC3_ET1	0	5000	0,64,0;
DBS_SC3_ET1	0	5000	0,0,128;
DBE_SC3_ET1	0	5000	128,0,128;
TA_SC4_ET1	0	5000	255,255,0;
CO_SC4_ET1	0	5000	255,128,128;
DBS_SC4_ET1	0	5000	0,255,0;
DBE_SC4_ET1	0	5000	0,0,255;

#!(s);Date;Time;TA_SC3_ET1;CO_SC3_ET1;DBS_SC3_ET1;DBE_SC3_ET1;TA_SC4_ET1;CO_SC4_ET1;DBS_SC4_ET1;DBE_SC4_ET1;
1730420101;01.11.2024;00:15:01;17.3;0;824;461;20.2;360;461;1055;
1730421004;01.11.2024;00:30:04;17.1;0;893;742;20.2;353;810;742;
1730421907;01.11.2024;00:45:07;17.1;0;810;842;20.2;360;824;760;
1730422810;01.11.2024;01:00:10;17.1;0;709;760;20.2;360;792;727;
1730423713;01.11.2024;01:15:13;17.1;0;875;742;20.2;360;875;727;
1730424616;01.11.2024;01:30:16;17.5;0;842;760;20.1;353;742;824;
1730425520;01.11.2024;01:45:20;17.3;0;925;742;20.2;353;760;824;
1730426423;01.11.2024;02:00:23;17.2;0;958;824;20.1;360;727;925;
1730427326;01.11.2024;02:15:26;17.3;0;842;810;20.1;353;695;626;
1730428229;01.11.2024;02:30:29;17.3;0;893;760;20.1;360;742;1091;
1730429132;01.11.2024;02:45:32;17.2;0;875;727;20.1;353;760;760;
1730430035;01.11.2024;03:00:35;17.3;0;925;842;20.1;353;659;497;
1730430938;01.11.2024;03:15:38;17.3;0;893;612;20.1;360;824;940;
1730431842;01.11.2024;03:30:42;17.3;0;857;760;20.1;360;792;907;
1730432745;01.11.2024;03:45:45;17.3;0;875;727;20;353;709;925;
1730433648;01.11.2024;04:00:48;17.3;0;875;529;20.1;353;760;857;
1730434551;01.11.2024;04:15:51;17.3;0;774;626;20;360;727;958;
1730435454;01.11.2024;04:30:54;17.5;0;925;792;20;360;644;742;
1730436357;01.11.2024;04:45:57;17.3;0;875;529;20.1;360;857;1008;
1730437260;01.11.2024;05:01:00;17.3;0;958;857;20;353;626;842;
1730438164;01.11.2024;05:16:04;17.3;0;925;659;20.1;360;824;893;
1730439067;01.11.2024;05:31:07;17.5;0;857;644;20.1;360;626;875;
1730439970;01.11.2024;05:46:10;17.5;0;727;774;20.1;360;727;893;
1730440873;01.11.2024;06:01:13;17.5;0;893;824;20.1;360;792;925;
1730441776;01.11.2024;06:16:16;17.5;0;940;760;20.1;360;727;842;
1730442679;01.11.2024;06:31:19;17.5;0;612;677;20.1;360;760;925;
1730443582;01.11.2024;06:46:22;17.5;0;792;760;20.1;360;875;1008;
1730444485;01.11.2024;07:01:25;17.5;0;709;695;20.1;360;810;1008;
1730445389;01.11.2024;07:16:29;17.5;0;990;742;20;360;824;875;
1730446292;01.11.2024;07:31:32;17.5;0;940;612;20;360;857;742;
1730447195;01.11.2024;07:46:35;17.5;0;760;659;20;368;842;810;
1730448098;01.11.2024;08:01:38;17.5;0;857;774;20.1;360;893;1040;
1730449001;01.11.2024;08:16:41;17.5;0;875;842;20.2;368;810;958;
1730449904;01.11.2024;08:31:44;17.5;0;940;792;20.2;368;824;925;
1730450807;01.11.2024;08:46:47;17.5;0;1008;774;20.1;368;677;497;
1730451711;01.11.2024;09:01:51;17.5;0;958;875;20.1;368;842;857;
1730452614;01.11.2024;09:16:54;17.5;0;857;612;20.1;360;857;792;
1730453517;01.11.2024;09:31:57;17.5;0;958;810;20.2;360;774;875;
1730454420;01.11.2024;09:47:00;17.5;0;875;544;20.2;368;842;792;
1730455323;01.11.2024;10:02:03;17.5;0;792;659;20.1;368;774;659;
1730456226;01.11.2024;10:17:06;17.5;0;893;511;20.1;368;727;742;
1730457129;01.11.2024;10:32:09;17.6;0;893;774;20.1;368;824;958;
1730458032;01.11.2024;10:47:12;17.6;0;907;792;20.1;360;612;810;
1730458936;01.11.2024;11:02:16;17.6;0;907;644;20.1;360;774;907;
1730459839;01.11.2024;11:17:19;17.7;0;760;695;20.1;360;774;216;
1730460742;01.11.2024;11:32:22;17.7;0;824;727;20.2;368;824;1008;
1730461645;01.11.2024;11:47:25;17.7;0;857;626;20.3;368;792;925;
1730462548;01.11.2024;12:02:28;17.7;0;940;497;20.2;368;810;644;
1730463451;01.11.2024;12:17:31;17.7;0;990;428;20.2;360;612;925;
1730464354;01.11.2024;12:32:34;17.8;0;857;727;20.2;368;760;857;
1730465257;01.11.2024;12:47:37;17.8;0;990;774;20.3;360;792;925;
1730466160;01.11.2024;13:02:40;17.8;0;857;727;20.3;360;760;709;
1730467064;01.11.2024;13:17:44;17.8;0;875;792;20.3;360;842;875;
1730467967;01.11.2024;13:32:47;17.8;0;875;810;20.4;360;727;742;
1730468870;01.11.2024;13:47:50;17.8;0;824;497;20.3;360;824;446;
1730469773;01.11.2024;14:02:53;17.8;0;925;263;20.3;360;727;644;
1730470676;01.11.2024;14:17:56;17.8;0;907;659;20.3;360;774;742;
1730471579;01.11.2024;14:32:59;17.8;0;925;677;20.2;360;893;875;
1730472482;01.11.2024;14:48:02;17.8;0;925;479;20.4;368;875;940;
1730473386;01.11.2024;15:03:06;17.8;0;907;824;20.3;360;792;695;
1730474289;01.11.2024;15:18:09;17.8;0;810;677;20.4;360;774;857;
1730475192;01.11.2024;15:33:12;17.8;0;857;428;20.4;360;824;792;
1730476095;01.11.2024;15:48:15;17.9;0;940;774;20.4;360;875;958;
1730476998;01.11.2024;16:03:18;17.9;0;958;378;20.4;360;760;709;
1730477901;01.11.2024;16:18:21;17.9;0;810;742;20.5;360;792;313;
1730478805;01.11.2024;16:33:25;17.9;0;810;709;20.3;360;677;644;
1730479708;01.11.2024;16:48:28;17.9;0;248;544;20.4;360;774;893;
1730480611;01.11.2024;17:03:31;17.9;0;875;774;20.4;360;842;695;
1730481514;01.11.2024;17:18:34;17.8;0;857;562;20.4;360;709;875;
1730482417;01.11.2024;17:33:37;17.9;0;792;709;20.3;360;893;562;
1730483320;01.11.2024;17:48:40;17.7;0;990;529;20.2;360;774;857;
1730484224;01.11.2024;18:03:44;17.7;0;940;893;20.3;368;576;875;
1730485127;01.11.2024;18:18:47;17.7;0;875;331;20.2;360;842;198;
1730486030;01.11.2024;18:33:50;17.7;0;760;511;20.2;360;842;626;
1730486933;01.11.2024;18:48:53;17.6;0;893;677;20.2;368;792;958;
1730487836;01.11.2024;19:03:56;17.6;0;940;511;20.2;360;792;792;
1730488740;01.11.2024;19:19:00;17.5;0;907;824;20.2;368;727;875;
1730489643;01.11.2024;19:34:03;17.5;0;940;760;20.3;368;727;760;
1730490546;01.11.2024;19:49:06;17.5;0;842;677;20.2;368;594;893;
1730491449;01.11.2024;20:04:09;17.3;0;925;626;20.1;368;857;695;
1730492352;01.11.2024;20:19:12;17.3;0;810;842;20.2;368;760;677;
1730493255;01.11.2024;20:34:15;17.3;0;824;576;20.1;368;774;875;
1730494158;01.11.2024;20:49:18;17.4;0;925;742;20.2;360;842;760;
1730495062;01.11.2024;21:04:22;17.3;0;893;742;20.2;360;792;677;
1730495965;01.11.2024;21:19:25;17.3;0;925;774;20.2;360;644;940;
1730496868;01.11.2024;21:34:28;17.2;0;1022;842;20;360;760;727;
1730497771;01.11.2024;21:49:31;17.2;0;907;281;20;360;810;479;
1730498674;01.11.2024;22:04:34;17.2;0;626;907;19.9;360;742;529;
1730499578;01.11.2024;22:19:38;17.2;0;875;774;20;360;760;972;
1730500481;01.11.2024;22:34:41;17.2;0;907;727;20;360;709;857;
1730501384;01.11.2024;22:49:44;17.1;0;857;760;20;360;695;875;
1730502287;01.11.2024;23:04:47;17.1;0;925;842;19.9;360;760;857;
1730503190;01.11.2024;23:19:50;17.1;0;461;792;19.9;360;824;842;
1730504093;01.11.2024;23:34:53;17.2;0;907;842;20;360;742;677;
1730504996;01.11.2024;23:49:56;17.1;0;972;529;19.9;360;760;612;
1730505900;02.11.2024;00:05:00;17.2;0;893;727;19.9;360;760;842;
1730506803;02.11.2024;00:20:03;17.1;0;875;727;20;360;774;857;
1730507706;02.11.2024;00:35:06;17.1;0;810;529;19.9;360;824;742;
1730508609;02.11.2024;00:50:09;17.1;0;893;479;19.9;360;824;644;
1730509512;02.11.2024;01:05:12;17.1;0;842;824;19.9;360;792;727;
1730510415;02.11.2024;01:20:15;17.1;0;842;626;19.9;360;677;727;
1730511318;02.11.2024;01:35:18;17.1;0;907;760;19.9;360;893;893;
1730512222;02.11.2024;01:50:22;17.1;0;576;893;19.9;360;677;875;
1730513125;02.11.2024;02:05:25;17.1;0;824;428;19.9;360;644;529;
1730514028;02.11.2024;02:20:28;17.1;0;824;695;19.9;360;644;792;
1730514931;02.11.2024;02:35:31;17.2;0;824;594;19.8;368;774;810;
1730515834;02.11.2024;02:50:34;17.1;0;925;594;20;368;824;659;
1730516737;02.11.2024;03:05:37;17;0;810;760;19.7;360;695;925;
1730517641;02.11.2024;03:20:41;17.1;0;774;810;19.9;360;695;1008;
1730518544;02.11.2024;03:35:44;17;0;824;842;19.7;360;742;857;
1730519447;02.11.2024;03:50:47;17;0;857;677;19.7;360;857;727;
1730520350;02.11.2024;04:05:50;17;0;857;857;19.7;360;695;857;
1730521253;02.11.2024;04:20:53;17;0;925;644;19.9;360;760;907;
1730522156;02.11.2024;04:35:56;17;0;958;529;19.9;360;727;857;
1730523060;02.11.2024;04:51:00;17;0;695;810;19.9;360;727;857;
1730523963;02.11.2024;05:06:03;17;0;774;544;19.9;360;842;677;
1730524866;02.11.2024;05:21:06;17;0;893;727;19.7;360;760;857;
1730525769;02.11.2024;05:36:09;17;0;742;576;19.9;360;792;792;
1730526672;02.11.2024;05:51:12;17;0;925;727;19.8;360;709;774;
1730527575;02.11.2024;06:06:15;17.1;0;824;612;19.9;360;760;1321;
1730528478;02.11.2024;06:21:18;17;0;875;461;19.7;360;742;774;
1730529381;02.11.2024;06:36:21;17;0;792;774;19.8;360;742;893;
1730530285;02.11.2024;06:51:25;17;0;893;695;19.8;368;810;907;
1730531188;02.11.2024;07:06:28;17;0;907;742;19.8;360;842;857;
1730532091;02.11.2024;07:21:31;17.1;0;893;857;19.7;360;774;907;
1730532994;02.11.2024;07:36:34;17;0;972;760;19.8;368;742;742;
1730533897;02.11.2024;07:51:37;17.1;0;925;544;19.9;368;842;972;
1730534800;02.11.2024;08:06:40;17;0;972;727;19.7;360;511;940;
1730535704;02.11.2024;08:21:44;17;0;990;727;19.8;368;792;990;
1730536607;02.11.2024;08:36:47;17;0;907;727;19.8;368;810;925;
1730537510;02.11.2024;08:51:50;17;0;940;479;19.7;368;792;742;
1730538413;02.11.2024;09:06:53;17;0;842;677;19.7;368;677;511;
1730539316;02.11.2024;09:21:56;17;0;958;626;19.8;368;792;677;
1730540219;02.11.2024;09:36:59;17;0;857;842;19.7;368;824;893;
1730541122;02.11.2024;09:52:02;17;0;810;774;19.7;368;695;1008;
1730542025;02.11.2024;10:07:05;17.1;0;940;677;19.7;368;824;875;
1730542929;02.11.2024;10:22:09;17;0;893;594;19.8;368;857;824;
1730543832;02.11.2024;10:37:12;17;0;857;760;19.6;368;810;842;
1730544735;02.11.2024;10:52:15;17;0;792;659;19.9;368;576;940;
1730545638;02.11.2024;11:07:18;17.1;0;990;810;19.8;368;742;990;
1730546541;02.11.2024;11:22:21;17.1;0;958;792;19.9;368;792;810;
1730547444;02.11.2024;11:37:24;17.1;0;760;774;19.9;368;774;925;
1730548348;02.11.2024;11:52:28;17.1;0;990;428;19.9;368;810;893;
1730549251;02.11.2024;12:07:31;17.1;0;842;562;20;368;824;893;
1730550154;02.11.2024;12:22:34;17.1;0;958;774;20;360;824;972;
1730551057;02.11.2024;12:37:37;17.2;0;907;760;20;360;810;1008;
1730551960;02.11.2024;12:52:40;17.1;0;972;709;19.9;360;842;576;
1730552863;02.11.2024;13:07:43;17.1;0;760;576;20.1;360;842;824;
1730553766;02.11.2024;13:22:46;17.2;0;792;760;20;360;677;1008;
1730554670;02.11.2024;13:37:50;17.2;0;824;810;20.1;353;774;446;
1730555573;02.11.2024;13:52:53;17.2;0;842;875;20.1;353;893;742;
1730556476;02.11.2024;14:07:56;17.2;0;925;659;20;353;792;824;
1730557379;02.11.2024;14:22:59;17.2;0;925;958;20;353;810;792;
1730558282;02.11.2024;14:38:02;17.2;0;842;695;20;353;842;529;
1730559185;02.11.2024;14:53:05;17.2;0;792;562;20.1;353;842;727;
1730560089;02.11.2024;15:08:09;17.3;0;760;810;20;360;677;857;
1730560992;02.11.2024;15:23:12;17.2;0;940;875;20;360;875;875;
1730561895;02.11.2024;15:38:15;17.2;0;792;695;20;353;760;940;
1730562798;02.11.2024;15:53:18;17.2;0;907;760;20.1;353;810;774;
1730563701;02.11.2024;16:08:21;17.2;0;842;346;19.9;353;824;594;
1730564604;02.11.2024;16:23:24;17.2;0;792;709;20;360;742;810;
1730565507;02.11.2024;16:38:27;17.2;0;925;774;20;360;857;727;
1730566410;02.11.2024;16:53:30;17.2;0;925;760;20;360;727;774;
1730567314;02.11.2024;17:08:34;17.1;0;810;810;20.1;353;709;842;
1730568217;02.11.2024;17:23:37;17.1;0;857;774;20;353;792;907;
1730569120;02.11.2024;17:38:40;17.1;0;940;742;20;353;842;925;
1730570023;02.11.2024;17:53:43;17.1;0;857;727;20;360;857;396;
1730570926;02.11.2024;18:08:46;17.1;0;857;644;19.9;353;824;760;
1730571829;02.11.2024;18:23:49;17.1;0;792;842;20;360;792;875;
1730572733;02.11.2024;18:38:53;17.1;0;907;727;20;360;760;742;
1730573636;02.11.2024;18:53:56;17.1;0;925;742;20.1;360;742;659;
1730574539;02.11.2024;19:08:59;17.1;0;842;727;20;360;893;709;
1730575442;02.11.2024;19:24:02;17.1;0;857;742;20;360;742;1008;
1730576345;02.11.2024;19:39:05;17.1;0;925;644;20.1;368;677;612;
1730577248;02.11.2024;19:54:08;17;0;940;709;20;360;594;810;
1730578151;02.11.2024;20:09:11;17.1;0;792;958;19.4;360;824;842;
1730579055;02.11.2024;20:24:15;17;0;893;925;19.9;368;760;760;
1730579958;02.11.2024;20:39:18;17.1;0;875;612;19.9;360;792;760;
1730580861;02.11.2024;20:54:21;17;0;893;810;20;360;742;875;
1730581764;02.11.2024;21:09:24;17;0;893;562;19.9;368;774;695;
1730582667;02.11.2024;21:24:27;17;0;958;792;19.9;360;893;907;
1730583570;02.11.2024;21:39:30;17;0;774;612;19.9;360;760;774;
1730584474;02.11.2024;21:54:34;16.9;0;893;792;19.7;360;774;958;
1730585377;02.11.2024;22:09:37;16.9;0;925;695;19.8;360;727;792;
1730586280;02.11.2024;22:24:40;16.9;0;857;810;19.8;360;792;760;
1730587183;02.11.2024;22:39:43;16.9;0;1040;760;19.7;368;810;893;
1730588086;02.11.2024;22:54:46;16.9;0;774;727;19.7;360;792;842;
1730588989;02.11.2024;23:09:49;17;0;824;677;19.7;360;742;990;
1730589892;02.11.2024;23:24:52;17;0;875;742;19.8;360;742;792;
1730590795;02.11.2024;23:39:55;16.9;0;857;461;19.7;360;659;893;
1730591699;02.11.2024;23:54:59;16.9;0;990;497;19.7;360;742;695;
1730592602;03.11.2024;00:10:02;16.9;0;875;695;19.8;360;857;857;
1730593505;03.11.2024;00:25:05;16.9;0;857;727;19.7;353;695;925;
1730594408;03.11.2024;00:40:08;16.9;0;958;842;19.5;360;842;612;
1730595311;03.11.2024;00:55:11;16.8;0;940;644;19.5;360;810;972;
1730596214;03.11.2024;01:10:14;16.8;0;893;875;19.5;360;677;479;
1730597118;03.11.2024;01:25:18;16.9;0;824;774;19.6;353;792;1008;
1730598021;03.11.2024;01:40:21;17;0;857;659;19.6;353;727;893;
1730598924;03.11.2024;01:55:24;16.8;0;940;695;19.5;360;792;958;
1730599827;03.11.2024;02:10:27;16.8;0;907;727;19.6;360;824;940;
1730600730;03.11.2024;02:25:30;16.8;0;810;925;19.8;360;824;824;
1730601634;03.11.2024;02:40:34;16.9;0;857;461;19.7;353;857;760;
1730602537;03.11.2024;02:55:37;16.8;0;760;299;19.5;353;792;907;
1730603440;03.11.2024;03:10:40;16.7;0;958;810;19.8;353;742;529;
1730604343;03.11.2024;03:25:43;16.8;0;875;626;19.5;360;677;824;
1730605246;03.11.2024;03:40:46;16.8;0;810;760;19.5;353;727;1040;
1730606149;03.11.2024;03:55:49;16.8;0;940;824;19.6;360;907;857;
1730607053;03.11.2024;04:10:53;16.7;0;857;677;19.5;353;857;972;
1730607956;03.11.2024;04:25:56;16.8;0;857;842;19.6;353;893;857;
1730608859;03.11.2024;04:40:59;16.8;0;940;677;19.5;360;824;626;
1730609762;03.11.2024;04:56:02;16.8;0;958;742;19.6;360;792;925;
1730610665;03.11.2024;05:11:05;16.7;0;907;695;19.5;360;792;972;
1730611568;03.11.2024;05:26:08;16.7;0;824;792;19.6;360;774;774;
1730612471;03.11.2024;05:41:11;16.8;0;907;824;19.5;360;792;626;
1730613374;03.11.2024;05:56:14;16.9;0;842;529;19.5;360;842;893;
1730614278;03.11.2024;06:11:18;16.7;0;810;695;19.6;360;774;842;
1730615181;03.11.2024;06:26:21;16.9;0;842;364;19.6;360;842;875;
1730616084;03.11.2024;06:41:24;16.9;0;857;626;19.6;360;760;792;
1730616987;03.11.2024;06:56:27;16.9;0;857;760;19.6;360;857;958;
1730617890;03.11.2024;07:11:30;17;0;727;626;19.6;360;857;857;
1730618793;03.11.2024;07:26:33;16.8;0;893;792;19.5;360;742;875;
1730619696;03.11.2024;07:41:36;16.8;0;893;695;19.5;360;875;940;
1730620599;03.11.2024;07:56:39;16.8;0;925;612;19.6;360;810;857;
1730621502;03.11.2024;08:11:42;16.9;0;810;842;19.5;360;760;958;
1730622406;03.11.2024;08:26:46;16.8;0;842;428;19.5;360;727;972;
1730623309;03.11.2024;08:41:49;16.9;0;893;461;19.5;360;824;990;
1730624212;03.11.2024;08:56:52;16.8;0;857;709;19.6;360;824;857;
1730625115;03.11.2024;09:11:55;16.9;0;792;810;19.7;360;760;659;
1730626018;03.11.2024;09:26:58;16.7;0;925;594;19.5;360;774;677;
1730626922;03.11.2024;09:42:02;16.8;0;857;940;19.5;368;774;875;
1730627825;03.11.2024;09:57:05;16.8;0;907;727;19.6;360;792;792;
1730628728;03.11.2024;10:12:08;16.8;0;824;626;19.5;360;659;925;
1730629631;03.11.2024;10:27:11;16.9;0;875;727;19.5;360;727;940;
1730630534;03.11.2024;10:42:14;16.8;0;857;842;19.5;360;810;842;
1730631437;03.11.2024;10:57:17;16.8;0;875;594;19.6;360;760;792;
1730632340;03.11.2024;11:12:20;17;0;857;824;19.7;368;0;760;
1730633244;03.11.2024;11:27:24;16.9;0;925;792;19.8;360;760;972;
1730634147;03.11.2024;11:42:27;16.9;0;875;562;19.7;360;857;875;
1730635050;03.11.2024;11:57:30;16.9;0;695;529;19.8;360;842;925;
1730635953;03.11.2024;12:12:33;17;0;742;810;19.7;360;842;709;
1730636856;03.11.2024;12:27:36;17;0;644;626;19.7;368;742;742;
1730637759;03.11.2024;12:42:39;16.9;0;857;612;19.5;360;709;1008;
1730638663;03.11.2024;12:57:43;17;0;857;742;19.7;360;907;857;
1730639566;03.11.2024;13:12:46;17;0;742;497;19.7;360;907;760;
1730640469;03.11.2024;13:27:49;17;0;842;824;19.8;360;677;990;
1730641372;03.11.2024;13:42:52;17.1;0;824;760;19.9;360;972;875;
1730642275;03.11.2024;13:57:55;17.1;0;875;875;19.9;360;857;940;
1730643178;03.11.2024;14:12:58;17.1;0;940;695;19.8;360;644;925;
1730644082;03.11.2024;14:28:02;17.1;0;907;709;19.8;360;774;857;
1730644985;03.11.2024;14:43:05;17.1;0;875;760;19.8;360;659;875;
1730645888;03.11.2024;14:58:08;17.1;0;875;414;19.7;360;709;857;
1730646791;03.11.2024;15:13:11;17.4;0;857;760;20;360;907;824;
1730647694;03.11.2024;15:28:14;17.8;0;659;709;20.1;360;727;792;
1730648597;03.11.2024;15:43:17;18;0;875;677;20.2;360;727;857;
1730649500;03.11.2024;15:58:20;18.1;0;857;857;20.2;360;727;760;
1730650404;03.11.2024;16:13:24;18.2;0;940;842;20.3;360;792;644;
1730651307;03.11.2024;16:28:27;18.2;0;907;792;20.3;360;857;792;
1730652210;03.11.2024;16:43:30;18.2;0;925;378;20.4;360;695;461;
1730653113;03.11.2024;16:58:33;18.1;0;810;396;20.4;368;626;644;
1730654016;03.11.2024;17:13:36;18;0;875;695;20.4;360;742;925;
1730654919;03.11.2024;17:28:39;17.9;0;810;727;20.4;368;742;824;
1730655823;03.11.2024;17:43:43;17.8;0;792;774;20.4;368;792;727;
1730656726;03.11.2024;17:58:46;17.7;0;842;612;20.4;368;792;709;
1730657629;03.11.2024;18:13:49;17.6;0;824;576;20.2;368;810;612;
1730658532;03.11.2024;18:28:52;17.5;0;925;659;20.2;368;727;727;
1730659435;03.11.2024;18:43:55;17.3;0;760;497;20.2;376;576;925;
1730660338;03.11.2024;18:58:58;17.3;0;857;760;20.2;376;810;940;
1730661242;03.11.2024;19:14:02;17.2;0;857;612;20.1;384;677;742;
1730662145;03.11.2024;19:29:05;17.2;0;925;659;20.1;384;709;907;
1730663048;03.11.2024;19:44:08;17.1;0;907;695;20.1;384;709;907;
1730663951;03.11.2024;19:59:11;17.1;0;857;824;20.1;384;695;842;
1730664854;03.11.2024;20:14:14;17;0;824;461;20;384;760;940;
1730665757;03.11.2024;20:29:17;17;0;893;479;19.9;392;742;774;
1730666660;03.11.2024;20:44:20;16.9;0;925;695;19.9;392;774;893;
1730667564;03.11.2024;20:59:24;16.9;0;893;760;19.9;400;727;742;
1730668467;03.11.2024;21:14:27;16.9;0;893;659;19.7;400;810;792;
1730669370;03.11.2024;21:29:30;16.7;0;857;907;19.6;400;612;972;
1730670273;03.11.2024;21:44:33;16.9;0;972;774;19.8;400;594;907;
1730671176;03.11.2024;21:59:36;16.8;0;893;774;19.6;400;760;958;
1730672079;03.11.2024;22:14:39;16.8;0;907;677;19.8;407;810;842;
1730672983;03.11.2024;22:29:43;16.7;0;677;511;19.5;415;774;824;
1730673886;03.11.2024;22:44:46;16.7;0;958;760;19.5;415;742;958;
1730674789;03.11.2024;22:59:49;16.6;0;972;893;19.6;415;824;842;
1730675692;03.11.2024;23:14:52;16.8;0;925;626;19.4;415;727;857;
1730676595;03.11.2024;23:29:55;16.6;0;940;677;19.4;415;774;824;
1730677498;03.11.2024;23:44:58;16.7;0;990;626;19.4;423;742;727;
1730678402;04.11.2024;00:00:02;16.6;0;893;446;19.4;423;842;857;
1730679305;04.11.2024;00:15:05;16.6;0;990;774;19.5;423;727;907;
1730680208;04.11.2024;00:30:08;16.7;0;842;497;19.4;423;792;1040;
1730681111;04.11.2024;00:45:11;16.6;0;677;857;19.5;431;709;1436;
1730682014;04.11.2024;01:00:14;16.6;0;972;659;19.4;431;774;760;
1730682918;04.11.2024;01:15:18;16.6;0;842;810;19.3;439;709;893;
1730683821;04.11.2024;01:30:21;16.6;0;893;742;19.4;439;875;925;
1730684724;04.11.2024;01:45:24;16.6;0;972;742;19.2;439;842;857;
1730685627;04.11.2024;02:00:27;16.6;0;940;742;19.2;439;695;893;
1730686530;04.11.2024;02:15:30;16.6;0;907;677;19.2;431;760;857;
1730687433;04.11.2024;02:30:33;16.6;0;907;742;19.2;431;792;810;
1730688336;04.11.2024;02:45:36;16.5;0;907;709;19.2;423;792;792;
1730689239;04.11.2024;03:00:39;16.6;0;893;774;19.2;423;727;907;
1730690142;04.11.2024;03:15:42;16.6;0;925;709;19.4;423;774;857;
1730691046;04.11.2024;03:30:46;16.6;0;893;760;19.3;415;659;857;
1730691949;04.11.2024;03:45:49;16.6;0;857;893;19.3;415;792;760;
1730692852;04.11.2024;04:00:52;16.5;0;972;612;19.2;407;810;727;
1730693755;04.11.2024;04:15:55;16.5;0;857;792;19.1;415;857;1008;
1730694658;04.11.2024;04:30:58;16.6;0;925;774;19.1;407;842;810;
1730695561;04.11.2024;04:46:01;16.5;0;893;727;19.2;407;824;925;
1730696464;04.11.2024;05:01:04;16.6;0;893;612;19.1;407;742;760;
1730697368;04.11.2024;05:16:08;16.5;0;925;562;19.1;407;709;695;
1730698271;04.11.2024;05:31:11;16.5;0;940;810;19.2;407;810;792;
1730699174;04.11.2024;05:46:14;16.5;0;907;760;19;407;760;907;
1730700077;04.11.2024;06:01:17;16.5;0;940;842;18.9;407;727;875;
1730700980;04.11.2024;06:16:20;16.6;0;990;576;18.2;431;677;972;
1730701883;04.11.2024;06:31:23;16.6;0;857;248;18.3;439;857;940;
1730702787;04.11.2024;06:46:27;16.6;0;875;792;18.5;439;810;1040;
1730703690;04.11.2024;07:01:30;16.6;0;810;709;18.5;439;774;1040;
1730704593;04.11.2024;07:16:33;16.6;0;940;461;18.5;447;612;972;
1730705496;04.11.2024;07:31:36;16.6;0;857;742;18.4;447;810;893;
1730706399;04.11.2024;07:46:39;16.5;0;742;824;18.4;439;742;958;
1730707302;04.11.2024;08:01:42;18.1;0;907;626;18.7;447;760;893;
1730708206;04.11.2024;08:16:46;18.3;0;925;893;20;729;695;940;
1730709109;04.11.2024;08:31:49;18.2;0;972;677;19.1;455;792;792;
1730710012;04.11.2024;08:46:52;18.6;0;907;612;19.1;509;626;810;
1730710915;04.11.2024;09:01:55;18.9;0;940;626;19.2;556;792;940;
1730711818;04.11.2024;09:16:58;19.2;0;893;792;19.4;596;709;842;
1730712721;04.11.2024;09:32:01;19.8;0;972;727;19.8;619;857;792;
1730713625;04.11.2024;09:47:05;20.4;0;940;792;19.8;643;824;1008;
1730714528;04.11.2024;10:02:08;20.4;0;875;659;21;643;857;990;
1730715431;04.11.2024;10:17:11;20.5;0;810;709;20.9;972;792;677;
1730716334;04.11.2024;10:32:14;20.8;0;562;562;21.6;831;695;940;
1730717237;04.11.2024;10:47:17;21.1;0;857;511;22.1;800;893;907;
1730718140;04.11.2024;11:02:20;21.2;0;907;925;22.4;784;810;612;
1730719043;04.11.2024;11:17:23;21.5;0;958;842;22.4;658;792;529;
1730719947;04.11.2024;11:32:27;21.6;0;990;659;22.5;643;644;824;
1730720850;04.11.2024;11:47:30;22.1;0;893;626;22.2;588;824;810;
1730721753;04.11.2024;12:02:33;22.6;0;940;378;21.9;549;792;893;
1730722656;04.11.2024;12:17:36;22.5;0;925;695;22.1;447;742;378;
1730723559;04.11.2024;12:32:39;22.3;0;792;378;22.1;439;677;792;
1730724462;04.11.2024;12:47:42;22.4;0;925;659;22.2;455;774;414;
1730725365;04.11.2024;13:02:45;22.5;0;958;562;22.9;525;792;893;
1730726269;04.11.2024;13:17:49;22.4;0;907;576;22.8;509;810;511;
1730727172;04.11.2024;13:32:52;22.4;0;760;511;23.3;486;742;760;
1730728075;04.11.2024;13:47:55;22.4;0;925;626;23.7;517;774;810;
1730728978;04.11.2024;14:02:58;22.3;0;907;612;23.1;462;760;810;
1730729881;04.11.2024;14:18:01;22.2;0;875;677;23.1;462;709;824;
1730730784;04.11.2024;14:33:04;22.3;0;925;446;23;462;810;972;
1730731687;04.11.2024;14:48:07;22.2;0;907;659;23;447;792;760;
1730732590;04.11.2024;15:03:10;22.1;0;940;677;23;431;810;727;
1730733494;04.11.2024;15:18:14;22;0;857;677;23.1;415;727;842;
1730734397;04.11.2024;15:33:17;22.2;0;893;760;22.6;580;709;446;
1730735300;04.11.2024;15:48:20;21.7;0;1008;497;23.2;447;875;644;
1730736203;04.11.2024;16:03:23;21.6;0;972;709;23.5;423;727;925;
1730737106;04.11.2024;16:18:26;21.5;0;857;727;23.7;415;810;230;
1730738009;04.11.2024;16:33:29;21.4;0;972;497;23.8;407;677;479;
